ResumeID,Category,extracted_skills,experience_keyword_count,education_keyword_count,Semantic_Score,Skill_Match_Score,Experience_Score,Education_Score,Final_Score,JD_ID,JD_Title
REAL_0448,Data Science,"python, sql, css, flask, aws, spark, tensorflow, pandas, machine learning, deep learning, data science, etl, android, r",4,6,0.45254624,1.0,1.0,1.0,0.7810185015201568,JD_1,Data Scientist
REAL_0357,Python Developer,"python, sql, aws, git, linux, tensorflow, pytorch, pandas, numpy, machine learning, data science, etl, r, excel",5,3,0.4200009,1.0,1.0,1.0,0.7680003702640533,JD_1,Data Scientist
REAL_0227,Python Developer,"python, javascript, sql, html, css, flask, spring, aws, linux, spark, pandas, numpy, machine learning, etl, scala, r, vba, jira",4,4,0.40756652,1.0,1.0,1.0,0.7630266159772873,JD_1,Data Scientist
REAL_0560,Data Science,"python, javascript, sql, html, css, linux, mongodb, postgresql, pandas, numpy, agile, scrum, machine learning, nlp, data science, tableau, power bi, r, excel, jira",5,3,0.40656886,1.0,1.0,1.0,0.7626275479793548,JD_1,Data Scientist
REAL_0381,Python Developer,"python, sql, aws, git, linux, tensorflow, pytorch, pandas, numpy, agile, machine learning, data science, etl, tableau, r, excel",5,3,0.386281,1.0,1.0,1.0,0.7545124053955078,JD_1,Data Scientist
REAL_0593,Data Science,"python, sql, flask, aws, hadoop, pandas, numpy, nlp, data science, tableau, sap, r, sas",8,3,0.37076962,1.0,1.0,1.0,0.7483078449964523,JD_1,Data Scientist
REAL_0294,Python Developer,"python, sql, aws, git, linux, tensorflow, pytorch, pandas, numpy, machine learning, data science, etl, r, excel",5,3,0.37011254,1.0,1.0,1.0,0.7480450183153152,JD_1,Data Scientist
REAL_0285,Python Developer,"python, sql, aws, git, linux, tensorflow, pytorch, pandas, numpy, machine learning, data science, etl, r, excel",4,3,0.3553161,1.0,1.0,1.0,0.7421264410018921,JD_1,Data Scientist
REAL_0548,Data Science,"python, sql, git, tensorflow, pandas, machine learning, nlp, data science, tableau, r, excel",4,2,0.35460848,1.0,1.0,1.0,0.7418433934450149,JD_1,Data Scientist
REAL_0469,Data Science,"python, sql, postgresql, mysql, tensorflow, pytorch, pandas, machine learning, data science, tableau, power bi, r, excel, vba",4,3,0.32441112,1.0,1.0,1.0,0.7297644525766372,JD_1,Data Scientist
SYNTH_2478,Full Stack Developer,"javascript, html, css, react, node.js, express, docker, git, mongodb, postgresql, ci/cd, rest api, agile, scrum",6,2,0.52809346,0.8571428571428571,1.0,1.0,0.7612373858690262,JD_2,Backend Developer
SYNTH_2536,Full Stack Developer,"javascript, sql, css, react, node.js, express, docker, git, mongodb, ci/cd, microservices, rest api, agile",5,2,0.5214113,0.8571428571428571,1.0,1.0,0.7585645198822022,JD_2,Backend Developer
SYNTH_2501,Full Stack Developer,"javascript, html, css, react, node.js, express, docker, git, mongodb, postgresql, ci/cd, rest api, agile",6,2,0.5211421,0.8571428571428571,1.0,1.0,0.7584568589925766,JD_2,Backend Developer
SYNTH_2545,Full Stack Developer,"javascript, html, css, react, node.js, express, docker, git, mongodb, ci/cd, microservices, rest api, agile, scrum, data science",5,2,0.5120372,0.8571428571428571,1.0,1.0,0.7548148959875107,JD_2,Backend Developer
SYNTH_2520,Full Stack Developer,"javascript, html, css, react, node.js, express, git, linux, mongodb, postgresql, ci/cd, rest api",5,2,0.51138484,0.8571428571428571,1.0,1.0,0.7545539468526841,JD_2,Backend Developer
SYNTH_2548,Full Stack Developer,"javascript, html, css, react, node.js, express, docker, linux, mongodb, postgresql, ci/cd, rest api, scrum",5,2,0.5104429,0.8571428571428571,1.0,1.0,0.7541771709918976,JD_2,Backend Developer
SYNTH_2504,Full Stack Developer,"javascript, html, css, react, node.js, express, docker, git, mongodb, ci/cd, rest api, agile, scrum",4,2,0.505043,0.8571428571428571,1.0,1.0,0.752017217874527,JD_2,Backend Developer
SYNTH_2572,Full Stack Developer,"javascript, html, css, react, node.js, express, docker, git, mongodb, postgresql, ci/cd, rest api, agile",5,2,0.5034949,0.8571428571428571,1.0,1.0,0.7513979703187943,JD_2,Backend Developer
SYNTH_2497,Full Stack Developer,"javascript, html, css, react, node.js, express, docker, git, mongodb, postgresql, ci/cd, rest api",6,2,0.49803123,0.8571428571428571,1.0,1.0,0.7492124915122985,JD_2,Backend Developer
SYNTH_2551,Full Stack Developer,"javascript, css, react, node.js, express, docker, git, linux, mongodb, postgresql, ci/cd, rest api, data science",6,2,0.49114767,0.8571428571428571,1.0,1.0,0.7464590698480605,JD_2,Backend Developer
SYNTH_3244,Site Reliability Engineer,"python, sql, docker, kubernetes, aws, linux, terraform, ci/cd, scrum, go",5,2,0.57590246,0.8571428571428571,1.0,1.0,0.7803609848022461,JD_3,Cloud Engineer
SYNTH_3227,Site Reliability Engineer,"python, sql, docker, kubernetes, aws, git, linux, terraform, ci/cd, go",5,2,0.56938565,0.8571428571428571,1.0,1.0,0.7777542650699616,JD_3,Cloud Engineer
SYNTH_3232,Site Reliability Engineer,"python, docker, kubernetes, aws, linux, terraform, ci/cd, microservices, rest api, scrum, go",5,2,0.55650645,0.8571428571428571,1.0,1.0,0.772602590918541,JD_3,Cloud Engineer
SYNTH_3224,Site Reliability Engineer,"python, docker, kubernetes, aws, linux, terraform, ci/cd, microservices, rest api, go",5,2,0.5511182,0.8571428571428571,1.0,1.0,0.7704472869634629,JD_3,Cloud Engineer
SYNTH_3245,Site Reliability Engineer,"python, docker, kubernetes, aws, linux, terraform, ci/cd, microservices, go",5,2,0.5481954,0.8571428571428571,1.0,1.0,0.769278171658516,JD_3,Cloud Engineer
SYNTH_3215,Site Reliability Engineer,"python, sql, docker, kubernetes, aws, linux, terraform, ci/cd, scrum, data science, go",6,2,0.5391363,0.8571428571428571,1.0,1.0,0.7656545221805573,JD_3,Cloud Engineer
SYNTH_3235,Site Reliability Engineer,"python, docker, kubernetes, aws, linux, terraform, ci/cd, microservices, rest api, agile, go",5,2,0.5128954,0.8571428571428571,1.0,1.0,0.7551581591367722,JD_3,Cloud Engineer
SYNTH_3226,Site Reliability Engineer,"python, docker, kubernetes, aws, linux, terraform, ci/cd, rest api, agile, data science, go",6,1,0.51233757,0.8571428571428571,1.0,1.0,0.7549350291490555,JD_3,Cloud Engineer
SYNTH_3238,Site Reliability Engineer,"python, docker, kubernetes, aws, linux, terraform, ci/cd, rest api, agile, go",5,2,0.48390555,0.8571428571428571,1.0,1.0,0.7435622245073318,JD_3,Cloud Engineer
REAL_0677,DevOps,"python, java, sql, css, docker, kubernetes, aws, git, linux, mysql, kafka, spark, hadoop, terraform, jenkins, agile, scrum, devops, android, jira",5,4,0.6063554,0.7142857142857143,1.0,1.0,0.742542177438736,JD_3,Cloud Engineer
